Query,Code_Snippet,Language,Tags
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,example
How to write a JOIN query in SQL?,SELECT * FROM orders JOIN customers ON orders.customer_id = customers.id;,SQL,example
How to create a list comprehension in Python?,[x**2 for x in range(10)],Python,tutorial
How to perform matrix multiplication in numpy?,"import numpy as np
np.dot(A, B)",Python,example
How to update data in SQL?,UPDATE users SET name = 'John' WHERE id = 1;,SQL,example
How to connect to a database using SQLAlchemy?,"from sqlalchemy import create_engine
engine = create_engine('sqlite:///mydb.db')",Python,real-world
How to use a lambda function in Python?,lambda x: x + 2,Python,common-issues
How to use a lambda function in Python?,lambda x: x + 2,Python,real-world
How to find a string in a file?,grep 'search_term' file.txt,Shell,example
How to use streams in Java 8?,List<String> filtered = list.stream().filter(s -> s.startsWith('a')).collect(Collectors.toList());,Java,tutorial
How to delete rows in SQL?,DELETE FROM users WHERE age < 18;,SQL,advanced
How to update data in SQL?,UPDATE users SET name = 'John' WHERE id = 1;,SQL,common-issues
How to count lines in a file?,wc -l file.txt,Shell,advanced
How to create a module in ES6?,export const myFunc = () => console.log('Module function');,JavaScript,example
How to find a string in a file?,grep 'search_term' file.txt,Shell,real-world
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,example
How to implement an interface in Java?,public class MyClass implements MyInterface {},Java,tutorial
How to implement an interface in Java?,public class MyClass implements MyInterface {},Java,example
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,tutorial
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,tutorial
How to create a module in ES6?,export const myFunc = () => console.log('Module function');,JavaScript,common-issues
How to handle events in JavaScript?,"element.addEventListener('click', () => console.log('Clicked!'));",JavaScript,advanced
How to handle missing data in pandas?,"df.fillna(0, inplace=True)",Python,example
How to connect to a database using SQLAlchemy?,"from sqlalchemy import create_engine
engine = create_engine('sqlite:///mydb.db')",Python,tutorial
How to create a generic class in Java?,"public class Box<T> {
    private T value;
}",Java,common-issues
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,common-issues
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,advanced
How to use streams in Java 8?,List<String> filtered = list.stream().filter(s -> s.startsWith('a')).collect(Collectors.toList());,Java,advanced
How to update data in SQL?,UPDATE users SET name = 'John' WHERE id = 1;,SQL,tutorial
How to count lines in a file?,wc -l file.txt,Shell,advanced
How to write a unit test in Java?,"@Test
public void testMethod() {
    assertEquals(5, sum(2, 3));
}",Java,tutorial
How to create a list comprehension in Python?,[x**2 for x in range(10)],Python,advanced
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,tutorial
How to perform matrix multiplication in numpy?,"import numpy as np
np.dot(A, B)",Python,real-world
How to implement an interface in Java?,public class MyClass implements MyInterface {},Java,real-world
How to create a module in ES6?,export const myFunc = () => console.log('Module function');,JavaScript,common-issues
How to delete rows in SQL?,DELETE FROM users WHERE age < 18;,SQL,example
How to create a generic class in Java?,"public class Box<T> {
    private T value;
}",Java,advanced
How to create a list comprehension in Python?,[x**2 for x in range(10)],Python,common-issues
How to write a unit test in Java?,"@Test
public void testMethod() {
    assertEquals(5, sum(2, 3));
}",Java,example
How to write a unit test in Java?,"@Test
public void testMethod() {
    assertEquals(5, sum(2, 3));
}",Java,real-world
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,example
How to count lines in a file?,wc -l file.txt,Shell,advanced
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,tutorial
How to count lines in a file?,wc -l file.txt,Shell,real-world
How to find a string in a file?,grep 'search_term' file.txt,Shell,advanced
How to use a subquery in SQL?,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);,SQL,tutorial
How to use a subquery in SQL?,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);,SQL,advanced
How to list files in a directory?,ls -l,Shell,real-world
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,advanced
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,example
How to connect to a database using SQLAlchemy?,"from sqlalchemy import create_engine
engine = create_engine('sqlite:///mydb.db')",Python,example
How to create a module in ES6?,export const myFunc = () => console.log('Module function');,JavaScript,tutorial
How to handle events in JavaScript?,"element.addEventListener('click', () => console.log('Clicked!'));",JavaScript,common-issues
How to create a REST API in Flask?,"from flask import Flask
app = Flask(__name__)
@app.route('/')
def home():
    return 'Hello, API!'",Python,advanced
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,real-world
How to list files in a directory?,ls -l,Shell,real-world
How to connect to a database using SQLAlchemy?,"from sqlalchemy import create_engine
engine = create_engine('sqlite:///mydb.db')",Python,tutorial
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,advanced
How to create a generic class in Java?,"public class Box<T> {
    private T value;
}",Java,example
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,common-issues
How to delete rows in SQL?,DELETE FROM users WHERE age < 18;,SQL,advanced
How to write a unit test in Java?,"@Test
public void testMethod() {
    assertEquals(5, sum(2, 3));
}",Java,real-world
How to write a JOIN query in SQL?,SELECT * FROM orders JOIN customers ON orders.customer_id = customers.id;,SQL,example
How to list files in a directory?,ls -l,Shell,advanced
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,advanced
How to update data in SQL?,UPDATE users SET name = 'John' WHERE id = 1;,SQL,tutorial
How to use streams in Java 8?,List<String> filtered = list.stream().filter(s -> s.startsWith('a')).collect(Collectors.toList());,Java,advanced
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,real-world
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,tutorial
How to connect to a database using SQLAlchemy?,"from sqlalchemy import create_engine
engine = create_engine('sqlite:///mydb.db')",Python,real-world
How to handle events in JavaScript?,"element.addEventListener('click', () => console.log('Clicked!'));",JavaScript,example
How to use a subquery in SQL?,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);,SQL,example
How to implement an interface in Java?,public class MyClass implements MyInterface {},Java,example
How to create a module in ES6?,export const myFunc = () => console.log('Module function');,JavaScript,advanced
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,common-issues
How to delete rows in SQL?,DELETE FROM users WHERE age < 18;,SQL,tutorial
How to update data in SQL?,UPDATE users SET name = 'John' WHERE id = 1;,SQL,advanced
How to connect to a database using SQLAlchemy?,"from sqlalchemy import create_engine
engine = create_engine('sqlite:///mydb.db')",Python,example
How to use a lambda function in Python?,lambda x: x + 2,Python,advanced
How to delete rows in SQL?,DELETE FROM users WHERE age < 18;,SQL,real-world
How to delete rows in SQL?,DELETE FROM users WHERE age < 18;,SQL,real-world
How to find a string in a file?,grep 'search_term' file.txt,Shell,advanced
How to create a generic class in Java?,"public class Box<T> {
    private T value;
}",Java,advanced
How to list files in a directory?,ls -l,Shell,example
How to use a lambda function in Python?,lambda x: x + 2,Python,example
How to create a list comprehension in Python?,[x**2 for x in range(10)],Python,real-world
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,advanced
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,tutorial
How to create a REST API in Flask?,"from flask import Flask
app = Flask(__name__)
@app.route('/')
def home():
    return 'Hello, API!'",Python,real-world
How to use a subquery in SQL?,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);,SQL,tutorial
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,tutorial
How to create a REST API in Flask?,"from flask import Flask
app = Flask(__name__)
@app.route('/')
def home():
    return 'Hello, API!'",Python,example
How to handle events in JavaScript?,"element.addEventListener('click', () => console.log('Clicked!'));",JavaScript,advanced
How to connect to a database using SQLAlchemy?,"from sqlalchemy import create_engine
engine = create_engine('sqlite:///mydb.db')",Python,tutorial
How to find a string in a file?,grep 'search_term' file.txt,Shell,advanced
How to handle events in JavaScript?,"element.addEventListener('click', () => console.log('Clicked!'));",JavaScript,advanced
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,advanced
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,common-issues
How to connect to a database using SQLAlchemy?,"from sqlalchemy import create_engine
engine = create_engine('sqlite:///mydb.db')",Python,real-world
